0,Slav Defense: Exchange Variation
1,Nimzowitsch Defense: Kennedy Variation
2,King's Pawn Game: Leonardis Variation
3,Queen's Pawn Game: Zukertort Variation
4,Philidor Defense
5,Sicilian Defense: Mongoose Variation
6,Blackmar-Diemer Gambit: Pietrowsky Defense
7,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation
8,Italian Game: Schilling-Kostic Gambit
9,Scandinavian Defense: Mieses-Kotroc Variation
10,Van't Kruijs Opening
11,French Defense: Advance Variation |  Paulsen Attack
12,French Defense: Knight Variation
13,French Defense #2
14,Four Knights Game: Italian Variation
15,Italian Game: Two Knights Defense |  Knight Attack
16,Philidor Defense #3
17,Queen's Pawn Game
18,Italian Game: Anti-Fried Liver Defense
19,Horwitz Defense
20,Sicilian Defense: Bowdler Attack
21,English Opening: King's English Variation |  Reversed Closed Sicilian
22,Sicilian Defense: Smith-Morra Gambit #2
23,Queen's Pawn Game: Chigorin Variation
24,Scotch Game: Haxo Gambit
25,Slav Defense
26,Queen's Gambit Refused: Marshall Defense
27,Sicilian Defense: Canal Attack |  Main Line
28,Sicilian Defense
29,Queen's Gambit Accepted: Central Variation |  Greco Variation
30,Robatsch (Modern) Defense
31,Blackmar-Diemer Gambit: Tartakower Variation
32,Indian Game
33,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
34,English Opening: King's English Variation |  Reversed Sicilian
35,Sicilian Defense: Dragon Variation
36,Sicilian Defense: Closed Variation
37,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line
38,Scandinavian Defense
39,French Defense: Normal Variation
40,King's Pawn Game: Beyer Gambit
41,Dutch Defense
42,English Opening: King's English Variation
43,Zukertort Opening: Ross Gambit
44,Vienna Game: Mengarini Variation
45,Philidor Defense: Larsen Variation
46,Scotch Game
47,Philidor Defense: Lopez Countergambit
48,Modern Defense
49,Blumenfeld Countergambit #2
50,Zukertort Opening: Kingside Fianchetto
51,French Defense: Queen's Knight
52,Queen's Pawn Game: Mason Attack
53,Queen's Pawn
54,French Defense: Advance |  Steinitz Variation
55,French Defense: Exchange Variation
56,Queen's Pawn Game: London System
57,French Defense: Chigorin Variation
58,French Defense: La Bourdonnais Variation
59,English Opening: Anglo-Lithuanian Variation
60,Crab Opening
61,French Defense: Winawer Variation |  Advance Variation #2
62,Queen's Pawn Game: Steinitz Countergambit
63,Queen's Indian Defense
64,Italian Game: Giuoco Pianissimo |  Normal
65,French Defense: Marshall Variation
66,French Defense: Advance Variation |  Main Line
67,Gruenfeld Defense
68,French Defense: Rubinstein Variation |  Fort Knox Variation
69,Queen's Gambit Declined: Traditional Variation
70,Queen's Gambit Accepted: Old Variation
71,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5
72,Yusupov-Rubinstein System
73,Queen's Gambit Declined: Queen's Knight Variation
74,Ruy Lopez: Classical Variation
75,Ruy Lopez: Classical Variation |  Central Variation
76,Bishop's Opening: Ponziani Gambit
77,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order
78,King's Indian Attack: French Variation
79,Nimzowitsch Defense: Mikenas Variation
80,Italian Game
81,Alekhine Defense #2
82,Sicilian Defense: Nimzowitsch Variation
83,Italian Game: Two Knights Defense |  Fried Liver Attack
84,Alekhine Defense: Maroczy Variation
85,Alekhine Defense: Two Pawn Attack |  Lasker Variation
86,Caro-Kann Defense: Exchange Variation
87,Queen's Pawn Game #2
88,Sicilian Defense: Modern Variations |  Main Line
89,Goldsmith Defense
90,Nimzo-Indian Defense
91,Alekhine Defense
92,Bogo-Indian Defense: Exchange Variation
93,Alekhine Defense: Saemisch Attack
94,King's Knight Opening
95,Queen's Gambit Declined
96,French Defense: Classical Variation |  Steinitz Variation
97,Alekhine Defense: Two Pawn Attack
98,Vienna Game: Vienna Gambit
